in_dma_act,401408
in_dma_wgt,4096
out_dma_act,200704
mem_wgt,392
mem_in_act,25088
mem_out_act,153664
mem_partial_product,153664
mem_wgt_accesses,233472
mem_in_act_accesses,802816
mem_out_act_accesses,1806336
mem_partial_product_acceses,0
in_rf_act_accesses,401408
out_rf_act_accesses,3211264
wgt_rf_accesses,458752
in_rf_act_size,700
out_rf_act_size,700
wgt_rf_size,4900
padd_ops,1404928
padd_cycles_max_per_batch,7
padd_util_cycles,44
padd_cycles,56
padd_units_available,700
total_padd_units,700
mac_util_cycles,2293
total_mac_units,4900
cycles_max_per_batch,25599
dma_cycles,28512
mac_units_available,4900
is_dma_cycle_selected,0
is_mac_cycle_selected,16
mac_cycles,229320
timing_cycles,0
cycles_total,229376
global_cycles,229376
-hx-wx-cx-mac_wx-mac_wx_type-mac_cx-hxx-wxx-cxx-fx-mac_wxx-mac_wxx_type-mac_cxx-mac_fx-dma_cycles-hxx2-wxx2-cxx2-fx2-mac_wxx2-mac_wxx2_type-mac_cxx2-mac_fx2,0,0,0,0,0,0,56,56,8,49,100,7,0,0,0.015625,0,0,0,0,0,0,0,0
